title,author,Runtime
Shadowman,Nyla K.,Length: 25 hrs and 1 min
Evolution,Cale Plamann,Length: 11 hrs and 51 mins
Wraithwood Botanist 3,Little Lynx,Length: 13 hrs and 50 mins
Enticing the Elf,Louisa Masters,Length: 7 hrs and 6 mins
A Court of Thorns and Roses 6,Sarah J. Maas,Length: 7 hrs and 30 mins
A Court of Thorns and Roses 7,Sarah J. Maas,Length: 7 hrs and 30 mins
Star Thrust,Virgil Knightley,Length: 11 hrs and 51 mins
The Hockey Problem,Kendall Ryan,Length: 8 hrs and 48 mins
Planetfall,Playwars aka Alex S. Weber,Length: 9 hrs and 59 mins
X Marks the Stalker,K.N Wilder,Length: 12 hrs and 27 mins
"Gunboat, Book 2",Dean Henegar,Length: 11 hrs and 20 mins
Mark of the Fool 10,J.M. Clarke,Length: 23 hrs and 22 mins
Spell Breaker,"A.P. Gore,Patricia Jones",Length: 10 hrs and 50 mins
Everyday Budgeting for Financial Stability,Halyra N. Brennok,Length: 3 hrs and 24 mins
The Path of Ascension 11,C. Mantis,Length: 23 hrs and 6 mins
Penny for Your Thoughts,Nicky James,Length: 12 hrs and 45 mins
Bitter Brambles,Albany Walker,Length: 7 hrs and 57 mins
Building Resilience in Recovery,Torxel N. Grantix,Length: 3 hrs and 26 mins
Spectral Harmonies,PAULA N CRISS,Length: 1 hr and 46 mins
Sacrificed to the Beast,Jessa Kane,Length: 3 hrs and 1 min
Playing Dirty,CE Ricci,Length: 11 hrs and 39 mins
Collateral Savage,Franklin Horton,Length: 9 hrs and 30 mins
Ruin Me,Kelsie Rae,Length: 17 hrs and 30 mins
Indulge,Luna Mason,Length: 12 hrs and 5 mins
Out of the Sky,Matti Friedman,Length: 6 hrs and 36 mins
Dual Class 3,Arthur Inverse,Length: 27 hrs and 26 mins
The General’s Captive,"Stephanie Hudson,E.M. Ritchie",Length: 7 hrs and 28 mins
Private Listing: Bind Me,C.S. Berry,Length: 11 hrs and 14 mins
Terror Tuesday,Kitty King,Length: 12 hrs and 24 mins
Platform Decay,Martha Wells,Length: 6 hrs and 45 mins
Patrick Stewart Performs the Complete Sonnets of William Shakespeare,"William Shakespeare,Patrick Stewart",Length: 3 hrs and 47 mins
Rites of the Starling,Devney Perry,Length: 17 hrs and 30 mins
The Dissonant,Saul Herzog,Length: 14 hrs and 17 mins
Enigma Zero,Jack Mars,Length: 6 hrs and 59 mins
"Show Me Forever: A One-Night Stand, Surprise Pregnancy Hockey Romance",Jennifer Sucevic,Length: 9 hrs and 8 mins
Beautiful Lies,"Faith Summers,Khardine Gray",Length: 13 hrs and 44 mins
"Revolutionizing the Magical World, One Sorceress at a Time 4","Alex Prone,Marcus Sloss",Length: 8 hrs and 39 mins
Dark Winter,"Colton Lively,Marie Wilkens",Length: 27 hrs and 27 mins
A Parade of Horribles,Matt Dinniman,Length: Not Yet Known
Rah,Jessica N. Watkins,Length: 14 hrs and 56 mins
"Reincarnated as a Sword, Vol. 18",Yuu Tanaka,Length: 9 hrs and 46 mins
In Her Own League,Liz Tomforde,Length: 13 hrs and 28 mins
Hunted in the Valley,Elle Gray,Length: 9 hrs and 40 mins
"1% Lifesteal, Volume 4",Robert Blaise,Length: 17 hrs and 55 mins
All Things Superhero,Marcus Sloss,Length: 10 hrs and 3 mins
Harry Potter and the Deathly Hallows (Full-Cast Edition),J.K. Rowling,Length: Not Yet Known
The Great Big Bear and Other Stories of the Iron Druid Chronicles,Kevin Hearne,Length: 4 hrs and 30 mins
"Skeleton Knight in Another World, Vol. 4",Ennki Hakari,Length: 5 hrs and 50 mins
"Earthen Contenders Collection, Books 1-3",Jonathan Brooks,Length: 45 hrs and 22 mins
Love and Let Spy,Lexi Blake,Length: 16 hrs and 16 mins
Out Law: A Dresden Files Novella,Jim Butcher,Length: 4 hrs and 10 mins
Brand of the Bloodheir,"Jaime Castle,C.J. Aaron",Length: 14 hrs and 28 mins
Mated to the Mountain Bear,Reece Barden,Length: 8 hrs and 29 mins
Scars Beneath a Serpent's Scales,Nicole Platania,Length: 19 hrs and 4 mins
Learn Spanish with 27 Modern Short Stories for Beginners & Intermediates,Patrick Jackson JD,Length: 35 hrs and 15 mins
Project Maven,Katrina Manson,Length: 13 hrs and 30 mins
Matt Dunne,C.J. Petit,Length: 10 hrs and 14 mins
A Country Meadow Murder,Katie Gayle,Length: 6 hrs and 53 mins
Magical Midlife Rogue,K.F. Breene,Length: 11 hrs and 46 mins
"Small Town Lawyer: Boxset One, Books 1-3",Peter Kirkland,Length: 24 hrs and 57 mins
The Valentine Cipher: A Homefront Sleuths Mystery,"Anna Elliott,Charles Veley",Length: 12 hrs and 54 mins
The Murder of Viscount Montcrief,Karen Baugh Menuhin,Length: 7 hrs and 39 mins
A Dance of Pride,Bethany Stewart,Length: 55 mins
Returner's Defiance 5,Bruce Sentar,Length: 10 hrs and 41 mins
The Body,Stephen King,Length: 6 hrs and 38 mins
When Working Together Doesn't Work,"Joey Stabile Schewee,Suzanne Stabile (Foreword By) - introduction",Length: 7 hrs and 10 mins
Slaughter Park,Lauren Biel,Length: 9 hrs and 19 mins
Crimson Love,Brynne Asher,Length: 9 hrs and 42 mins
The Girl from My Last Class,Nikia J Carthens,Length: 1 hr and 7 mins
My Not So Wicked Boss,Jennifer Peel,Length: 8 hrs and 41 mins
Trapped,"James Patterson,Max DiLallo",Length: 3 hrs and 45 mins
Hunt the Villain,Rina Kent,Length: 13 hrs and 6 mins
Lights Out,Navessa Allen,Length: 13 hrs and 36 mins
Betrayal,Tom Bower,Length: 15 hrs and 45 mins
Did They Break You,K. V. Rose,Length: 17 hrs and 18 mins
Depthless Hunger 2,Sarah Lin,Length: 25 hrs and 54 mins
In the Same Boat,Bianca Willis,Length: 10 hrs and 9 mins
Just Kiss Already,Lily Chu,Length: 9 hrs and 30 mins
We Meet in Other Years,Stephanie Keosha Baker,Length: 1 hr and 12 mins
The Labyrinth of Dreams,DANIELE FORESTI,Length: 1 hr and 18 mins
Harry Potter and the Half-Blood Prince (Full-Cast Edition),J.K. Rowling,Length: Not Yet Known
The Gallery of Salt-Lit Rooms,Rachel Ann Hall,Length: 1 hr and 35 mins
Forged by Heart and Claws,Jen L. Grey,Length: 11 hrs and 49 mins
Reborn in the Silence,Rachel August,Length: 59 mins
No Matter the Cost,Anna Hackett,Length: 6 hrs and 35 mins
The Serpent Throne,Chander Nigam,Length: 1 hr and 3 mins
The Coaching Habit,Michael Bungay Stanier,Length: 4 hrs and 3 mins
Blood for Blood,Angelo Migneco,Length: 1 hr and 1 min
Bonds of the Wolf,Cherise Sinclair,Length: 15 hrs and 46 mins
He Who Fights with Monsters 6,"Shirtaloon,Travis Deverell",Length: 15 hrs and 49 mins
Game On,Navessa Allen,Length: 12 hrs and 21 mins
He Who Fights with Monsters 3,"Shirtaloon,Travis Deverell",Length: 24 hrs and 39 mins
The Library of Forgotten Dreams,Deandra Spiess,Length: 1 hr and 52 mins
He Who Fights with Monsters 4,"Shirtaloon,Travis Deverell",Length: 22 hrs and 20 mins
Shadow Directive,"L. T. Ryan,Andre Gonzalez",Length: 5 hrs and 19 mins
The Baby Group,Jade Lee Wright,Length: 8 hrs and 33 mins
YouTube AI Evolution,Liam Turner,Length: 3 hrs and 33 mins
How to Slay a Wizard,Owen Benjamin,Length: 5 hrs and 2 mins
Almost Engaged,Alexis Howe,Length: 1 hr and 31 mins
Cupid in Training,Lechisha Alford,Length: 1 hr and 39 mins
A Garden Made of Time,Phaedra Quanette Holloway,Length: 2 hrs and 13 mins
Mirrors of Indigo,Rita L Neves,Length: 2 hrs and 15 mins
War of Fire and Fury,Marion Blackwood,Length: 15 hrs and 44 mins
Still Here,"Steven Curtis Chapman,Mary Beth Chapman",Length: 5 hrs and 16 mins
The Edens Series,Devney Perry,Length: 52 hrs and 18 mins
The Art of Murder,"Matthew Costello,Neil Richards",Length: 3 hrs and 41 mins
Secret Love Letters,Sheri Gomez,Length: 1 hr and 13 mins
Midnight Kisses,Layla Hagen,Length: 7 hrs and 22 mins
Childhood’s Eternal Light,Nino Shtromberg,Length: 1 hr and 47 mins
Long-Term Crypto Thinking: Build Wealth by Playing the Long Game,Ryan Carrington,Length: 44 mins
The Man on the Run,"Paul McCartney,Morgan Neville",Length: 2 hrs and 55 mins
After the Light,Terry Crummitt,Length: 1 hr and 34 mins
The Stubborn Skill-Grinder in a Time Loop 3,X-RHODEN-X,Length: 28 hrs and 51 mins
Beneath,Ariel Sullivan,Length: 15 hrs and 26 mins
The Ghost Who Loved in Silence,Jacob Varney,Length: 1 hr and 3 mins
The Cat Who Wanted to Be a Star,MICHELLE FRANCESCA PIZARRO,Length: 1 hr and 50 mins
Mistakes Were Made,Lucy Score,Length: 17 hrs and 32 mins
The Clock That Sang at Midnight,Rodney Dwayne Hurley,Length: 2 hrs and 10 mins
"Reborn as a Space Mercenary: I Woke Up Piloting the Strongest Starship!, Vol. 14",Ryuto,Length: 5 hrs and 44 mins
"Swipe Right for Ghosts, Part 1",Janine LaFrance Walton,Length: 1 hr and 24 mins
Artemis,Andy Weir,Length: 8 hrs and 57 mins
Neighborly Love-Hate Relationship,Tina Bashline,Length: 1 hr and 40 mins
Broken Prince,Glynn Stewart,Length: 14 hrs and 20 mins
Graduating with Honor,Daniel Schinhofen,Length: 9 hrs and 25 mins
The Rabbit Close to Home,Brett Belmarez,Length: 1 hr and 4 mins
Lanterns of Elderglow,JUSTIN KRAMER,Length: 1 hr and 2 mins
He Who Fights with Monsters 5,"Shirtaloon,Travis Deverell",Length: 20 hrs and 5 mins
Scandals & Stardust,Victoria A Chambers,Length: 1 hr and 8 mins
